NLW FACS 787 Aberystwyth Harbour Records,,,"KEY          
Illegible Word =
Illegible letter =
Guess =
Blank =
Date =","and examples
$
$ e.g. Aberystw$th 
e.g. [Aberystwyth]
blk
 yyyy-mm-dd or yyyy-mm or yyyy",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Inward Cargoes - January 1890 – August 1950,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Amount Due,,,Amount Paid,,,,,,
No Out,Date,No In,Vessels' Name,Port to which Vessel belongs,Official Number,Rig,Captain's Name,Who the Goods are for,Cargo,No. of Tons.,Rate per Ton.,£,s,d,£,s,d,Any other information,,,
blk,1890-01-04,1,Countess,Aberystwith,See note,blk,Jones,blk,General Cargo,57,4,0,19,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1890-01-17,2,Countess,Aberystwith,See note,blk,Jones,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1890-01-27,3,Countess,Aberystwith,See note,blk,Jones,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1890-01-30,4,Alice and Eliza,Aberystwith,62761,blk,blk,Capt. Thos. Doughton,Coal,50,2,0,8,4,,,,,,,
blk,1890-02-06,5,Countess,Aberystwith,See note,blk,Jones,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1890-02-07,6,Jessamine,[Padstow],See note,blk,Maynard,Richard Morgan,Grain,48,2,0,8,0,0,8,0,No Jessamine found registered in Padstow,,,
blk,1890-02-09,7,[Reed Rover],Aberystwith,blk,blk,Jones,Capt. Thos. Doughton,Coal,79,2,0,13,2,0,13,2,,,,
blk,1890-02-09,8,Countess,Aberystwith,See note,blk,Jones,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1890-02-16,9,Countess,Aberystwith,See note,blk,Jones,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1890-02-25,10,Alice and Eliza,Aberystwith,62761,blk,Edwards,Capt. Thos. Doughton,Coal,50,2,0,8,4,,,,,,,
blk,1890-02-26,11,Countess,Aberystwith,See note,blk,Jones,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1890-03-02,12,Countess,Aberystwith,See note,blk,Jones,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1890-03-19,13,Countess,Aberystwith,See note,blk,Jones,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1890-03-22,14,Margaret Ellen,Cardigan,29668,blk,Davies,M. H. Davies and Sons,Powder,27,2,0,4,6,,,,,,,
blk,1890-03-23,15,Countess,Aberystwith,See note,blk,Jones,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1890-03-30,16,Countess,Aberystwith,See note,blk,Jones,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1890-03-30,17,Volunteer,Aberystwith,29308,blk,Jones,Thos Powell,Grain,64,2,0,10,8,0,10,8,,,,
blk,1890-03-30,18,Maggie,Glasgow,86661,blk,Macgregor,W V White,[Dye],78,4,1,6,0,1,6,0,Other ships of this name registered in Glasgow for different years,,,
blk,1890-04-04,19,Alice and Eliza,Aberystwith,62761,blk,Edwards,Capt. Thos. Doughton,Coal,50,2,0,8,4,,,,,,,
blk,1890-04-11,20,Countess,Aberystwith,See note,blk,Jones,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1890-04-14,21,Countess,Aberystwith,See note,blk,Jones,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1890-04-19,22,Countess,Aberystwith,See note,blk,Jones,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1890-04-26,23,Countess,Aberystwith,See note,blk,Jones,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1890-05-03,24,Countess,Aberystwith,See note,blk,Jones,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1890-05-05,25,Volunteer,Aberystwith,29308,blk,Jones,Thos Powell,Grain,64,2,0,10,8,,,,,,,
blk,1890-05-10,26,Countess,Aberystwith,See note,blk,Jones,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1890-05-12,27,Alice and Eliza,Aberystwith,62761,blk,Edwards,Capt. Thos. Doughton,Coal,50,2,0,8,4,,,,,,,
blk,1890-05-17,28,Countess,Aberystwith,See note,blk,Jones,blk,General Cargo,63,4,1,1,,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1890-05-24,29,Countess,Aberystwith,See note,blk,Jones,blk,General Cargo,63,4,1,1,,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1890-05-31,30,Countess,Aberystwith,See note,blk,Jones,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1890-06-07,31,Countess,Aberystwith,See note,blk,Jones,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1890-06-13,32,Countess,Aberystwith,See note,blk,Jones,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1890-06-17,33,Countess,Aberystwith,See note,blk,Jones,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1890-06-21,34,Countess,Aberystwith,See note,blk,Jones,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1890-06-23,35,Nerissa,Aberystwith,67642,blk,Jenkins,Roberts and Sons,Flooring Boards,108,6,2,14,0,2,14,0,,,,
blk,1890-06-29,36,Countess,Aberystwith,See note,blk,Jones,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1890-06-29,37,Alice and Eliza,Aberystwith,62761,blk,Edwards,Capt. Thos. Doughton,Coal,50,2,0,8,4,,,,,,,
blk,1890-07-05,38,Countess,Aberystwith,See note,blk,Jones,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1890-07-12,39,Countess,Aberystwith,See note,blk,Jones,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
